subject,body,is_phishing
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Throughout yeah agree,Click here to update. http://secure-update.xyz/login,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Fish if season enjoy,Security alert. http://secure-access.ml,1
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Newsletter Subscription,Your support ticket has been resolved.,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Team Outing,Your support ticket has been resolved.,0
Director mean mention,Click here to update. http://login-security.xyz,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Experience poor rest box,Suspended account. http://alert-now.cf,1
Political per usually whom wonder,Update required. http://doc-share.xyz/file.pdf,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Civil or local decide,Reset your password. http://secure-update.xyz/login,1
Side cut,Click here to update. http://bank-secure.gq,1
Attack special cultural,Document shared with you. http://bank-secure.gq,1
Order Confirmation,"Dear customer, please find your invoice attached.",0
Onto explain,Document shared with you. http://secure-access.ml,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Your Monthly Invoice,Your support ticket has been resolved.,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
Carry month race,Document shared with you. http://password-reset.tk,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Remain back environmental tend,Login immediately. http://doc-share.xyz/file.pdf,1
Well success fact our affect,Urgent action required. http://login-security.xyz,1
Congress lay catch which,Invoice error. http://confirm-user.ga,1
Project Status,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Please review the updated HR policy document.,0
Ability rate study successful store,Click here to update. http://login-security.xyz,1
Answer only road,Banking issue. http://alert-now.cf,1
Project Status,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Project Status,Please review the updated HR policy document.,0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Quality audience,Password expires. http://alert-now.cf,1
Teach few night water,Update required. http://alert-now.cf,1
High at yet citizen,Reset your password. http://login-security.xyz,1
Scientist maybe conference,Unauthorized login. http://secure-access.ml,1
Together collection green name,Unauthorized login. http://login-security.xyz,1
Story add treatment,Suspended account. http://confirm-user.ga,1
Administration soon,Invoice error. http://login-security.xyz,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Recognize guess down,Urgent action required. http://doc-share.xyz/file.pdf,1
Without relationship lot anything soldier,Document shared with you. http://secure-access.ml,1
Teacher whatever majority,Confirm your identity. http://doc-share.xyz/file.pdf,1
Leg two put,Update required. http://password-reset.tk,1
Never ten,Login immediately. http://login-security.xyz,1
Age speech human base,Banking issue. http://bank-secure.gq,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Matter movement education continue,Verify your account. http://confirm-user.ga,1
Project Status,Thanks for subscribing to our newsletter!,0
Low and boy establish,Invoice error. http://doc-share.xyz/file.pdf,1
Control seat become finally,Banking issue. http://password-reset.tk,1
Break without need cell,Unauthorized login. http://bank-secure.gq,1
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Maintain style leader clearly give,Security alert. http://doc-share.xyz/file.pdf,1
Never TV involve case wall,Security alert. http://login-security.xyz,1
Ball thing because huge,Security alert. http://secure-update.xyz/login,1
Reason quickly street themselves,Urgent action required. http://secure-update.xyz/login,1
Support Ticket Response,Please review the updated HR policy document.,0
Side PM,Update required. http://doc-share.xyz/file.pdf,1
Team four when movie,Payment declined. http://doc-share.xyz/file.pdf,1
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Operation eight book modern,Password expires. http://confirm-user.ga,1
Benefit chair social recognize matter,Urgent action required. http://secure-access.ml,1
Seek budget brother sell,Unauthorized login. http://login-security.xyz,1
Dinner player side outside project,Update required. http://alert-now.cf,1
And find professor affect,Document shared with you. http://login-security.xyz,1
Nor view scene,Security alert. http://alert-now.cf,1
Administration structure,Reset your password. http://secure-update.xyz/login,1
Package Delivery,Looking forward to our team outing next Friday!,0
Team Outing,Thanks for subscribing to our newsletter!,0
My customer first,Banking issue. http://login-security.xyz,1
Themselves address time professor,Security alert. http://password-reset.tk,1
Support Ticket Response,Reminder: Submit your timesheet by end of day Friday.,0
Tree administration own,Password expires. http://alert-now.cf,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Your Monthly Invoice,Your support ticket has been resolved.,0
Office page relationship,Invoice error. http://password-reset.tk,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Federal simply black recently rather,Password expires. http://confirm-user.ga,1
Example economic box glass,Document shared with you. http://alert-now.cf,1
Project Status,Thank you for your order #12345.,0
Special section,Banking issue. http://login-security.xyz,1
Government police figure,Security alert. http://secure-access.ml,1
Reduce sport through four,Security alert. http://doc-share.xyz/file.pdf,1
Occur among,Unauthorized login. http://confirm-user.ga,1
Project Status,Please review the updated HR policy document.,0
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Significant international energy beyond community,Security alert. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Thank you for your order #12345.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Team Outing,Looking forward to our team outing next Friday!,0
Trouble just,Click here to update. http://bank-secure.gq,1
Consider behind similar matter rate,Unauthorized login. http://secure-access.ml,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Each second coach my,Security alert. http://password-reset.tk,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Worry always language,Verify your account. http://login-security.xyz,1
Employee interesting surface movement,Password expires. http://doc-share.xyz/file.pdf,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Thank you for your order #12345.,0
Meeting Reminder,Please review the updated HR policy document.,0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Agreement money,Banking issue. http://doc-share.xyz/file.pdf,1
Project Status,Your support ticket has been resolved.,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Form prepare worker follow book,Banking issue. http://bank-secure.gq,1
Meeting Reminder,Please review the updated HR policy document.,0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Decade set mother,Payment declined. http://login-security.xyz,1
Performance one able,Payment declined. http://bank-secure.gq,1
Degree civil against population,Login immediately. http://secure-update.xyz/login,1
Manage film middle,Update required. http://alert-now.cf,1
Team Outing,Your support ticket has been resolved.,0
Project Status,Your support ticket has been resolved.,0
There subject side kind,Click here to update. http://doc-share.xyz/file.pdf,1
Myself trouble international,Security alert. http://doc-share.xyz/file.pdf,1
Timesheet Submission Reminder,Your support ticket has been resolved.,0
Age customer machine degree,Login immediately. http://secure-update.xyz/login,1
Since clearly,Password expires. http://password-reset.tk,1
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Should her contain situation,Update required. http://alert-now.cf,1
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Treat amount rather,Suspended account. http://secure-update.xyz/login,1
Package Delivery,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Please review the updated HR policy document.,0
